"","X","Value","Std.Error","DF","t.value","p.value","GeneFamily","Group","FDR","BaselineGroup","BaselineLinear"
"631","DayGroupEarly141",-0.0989713143934804,0.0646141384213364,178,-1.53172845466278,0.127364788401032,"1.21.4.4","Early",0.271636407120786,0.526166264154572,0.532187544170183
"632","DayGroupEarly253",0.144170725586217,0.0943552959319911,178,1.527955841399,0.128298543990396,"2.1.1.193","Early",0.273144426693333,2.3907351409082,2.42617256100523
"633","DayGroupEarly696",0.199579630434712,0.130749671693083,178,1.52642548046467,0.128678848603188,"3.2.1.37","Early",0.273470921634642,2.05415534334032,1.98882486891161
"634","DayGroupEarly263",0.140691990856781,0.0923773971879933,178,1.52301315191274,0.129530015084501,"2.1.1.228","Early",0.274795190452154,2.68670107300436,2.73957848361664
"635","DayGroupEarly654",0.122763587891067,0.0807621289944179,172,1.5200637900414,0.130331072187434,"3.1.3.73","Early",0.276008685388151,1.48266251893,1.46232341251951
"636","DayGroupEarly583",0.140740044242817,0.0926626717148869,178,1.51884293468095,0.130576207380823,"2.7.9.3","Early",0.276042684024371,1.75914858510188,1.76671159815661
"637","DayGroupEarly900",0.0687576659721857,0.0453542715519206,178,1.51601301530052,0.131289913088565,"3.6.5.3","Early",0.277065403277969,0.611804131361082,0.587514630215952
"638","DayGroupEarly409",0.169526841185496,0.112020985568957,178,1.51334895264906,0.131964573381599,"2.5.1.3","Early",0.278002291826621,2.62506802477922,2.67656738400877
"639","DayGroupEarly38",0.124696863365086,0.083169612265365,176,1.49930798002547,0.135585344881234,"1.1.1.292","Early",0.285131484436104,1.43744847451355,1.40808796504022
"640","DayGroupEarly145",-0.0335905042701093,0.0224683358395889,127,-1.495015229874,0.137391154219076,"1.3.1.2","Early",0.28792407101563,0.125003690167692,0.14307822898686
"641","DayGroupEarly318",0.100741007434936,0.0674867361386756,178,1.4927526977735,0.137272264675959,"2.3.1.266","Early",0.28792407101563,1.11022988234868,1.0630531403518
"642","DayGroupEarly586",0.279439236631433,0.187818744595862,178,1.48781335554507,0.13856950154864,"2.8.1.13","Early",0.289386913979396,3.95899761360016,4.00020634013196
"643","DayGroupEarly788",0.0370967490406368,0.0249170641111161,157,1.48880898950238,0.138543634163135,"3.4.24.75","Early",0.289386913979396,0.136303880374599,0.161140176955679
"644","DayGroupEarly60",-0.100394656418416,0.0676300470661942,178,-1.48446823229551,0.139453438250641,"1.1.1.58","Early",0.290363626045933,1.25226859845165,1.28241919769059
"645","DayGroupEarly209",0.0888451937147148,0.0598598415907339,178,1.4842203279146,0.139519119900909,"1.8.1.14","Early",0.290363626045933,0.944610298726622,0.978589221695469
"646","DayGroupLate613",-0.0761951059263089,0.031330460247418,149,-2.43198169846829,0.0162022045658678,"3.1.1.84","Late",0.291397858236877,0.352566274632135,0.361385857289946
"647","DayGroupLate22",-0.259119734125964,0.108183208371096,178,-2.39519365368715,0.0176491404825538,"1.1.1.22","Late",0.293852846128644,1.96781060490957,1.93915073698591
"648","DayGroupLate24",-0.023229857408332,0.00968554474499265,160,-2.39840484143566,0.0176176640363027,"1.1.1.244","Late",0.293852846128644,0.067400213553919,0.0680783974217971
"649","DayGroupLate333",-0.150074802494772,0.062129611214661,178,-2.41551169499928,0.0167245846753891,"2.3.1.79","Late",0.293852846128644,0.667240896327099,0.60482177488783
"650","DayGroupLate561",-0.0495889270653437,0.0206824371056899,145,-2.39763461201105,0.0177741021014521,"2.7.7.73","Late",0.293852846128644,0.191660984076985,0.195738512086699
"651","DayGroupLate797",-0.00621651469343933,0.00258376253176419,137,-2.40599304967655,0.017462756399916,"3.5.1.115","Late",0.293852846128644,0.0205831942323297,0.0157407057460961
"652","DayGroupLate896",-0.088545614453519,0.0369591813792169,152,-2.3957677402268,0.0178018736658847,"3.6.3.54","Late",0.293852846128644,0.256582741639715,0.246227296585753
"653","DayGroupLate950",-0.0671190305393463,0.0281542199321154,172,-2.38397763110403,0.0182157046558707,"4.1.3.6","Late",0.296620596085462,0.25588599074722,0.258513695284703
"654","DayGroupEarly1123",0.156806915691699,0.106549981732165,178,1.471674730887,0.142874502417058,"6.1.1.17","Early",0.296834095538888,3.64694605674261,3.70290945386668
"655","DayGroupEarly59",-0.0708508598076387,0.0482511557950278,168,-1.46837642829977,0.143871857003629,"1.1.1.57","Early",0.298130227540515,0.584727223290147,0.572430664459194
"656","DayGroupEarly874",0.132623145335991,0.0903708904921744,178,1.46754275202672,0.14399318873741,"3.6.3.12","Early",0.298130227540515,1.32551853858674,1.37312777197865
"657","DayGroupEarly40",0.0400763901766485,0.0273648136951989,131,1.46452267583608,0.145446917881654,"1.1.1.336","Early",0.300623560973231,0.127205295736869,0.156011457950152
"658","DayGroupLate964",-0.0167418968442143,0.00705926154810215,172,-2.3716215542,0.0188157586359227,"4.2.1.120","Late",0.302306522083824,0.0596736486477953,0.0602400861759526
"659","DayGroupLate50",-0.183805830845071,0.0783871807386895,178,-2.34484553613178,0.0201374503412783,"1.1.1.40","Late",0.303576852995774,1.62876352999824,1.61926454360346
"660","DayGroupLate60",-0.162818529923646,0.0692980419948885,178,-2.34954012027722,0.0198930408182266,"1.1.1.58","Late",0.303576852995774,1.25226859845165,1.28241919769059
"661","DayGroupLate201",-0.103219882120588,0.0440256074072565,157,-2.34454192001846,0.0203023521006589,"1.6.99.5","Late",0.303576852995774,0.331507329203457,0.319531198498113
"662","DayGroupLate208",0.00340380593093386,0.00143962848799649,151,2.36436411151525,0.019333086619779,"1.7.99.4","Late",0.303576852995774,0.00481211776556449,0.00506489572028107
"663","DayGroupLate1067",-0.198112119162848,0.0846728162004908,178,-2.3397369787932,0.0204064108652761,"5.3.1.12","Late",0.303576852995774,1.79900818907931,1.85266677280711
"664","DayGroupLate1118",-0.232450624268113,0.0991881508063968,178,-2.34353218986639,0.0202062971426203,"6.1.1.12","Late",0.303576852995774,2.5497730409238,2.52402721537311
"665","DayGroupEarly956",0.145270257710109,0.0998063533165802,178,1.45552114552587,0.147286428858463,"4.1.99.22","Early",0.303904360915151,1.90195088158285,1.93779660317541
"666","DayGroupLate1046",-0.0863373252609932,0.0370356975256795,152,-2.33119209382054,0.0210568770298078,"5.1.1.20","Late",0.309433375864858,0.266567148205174,0.259176519172415
"667","DayGroupLate162",-0.245678787916286,0.106016581703815,178,-2.3173619066747,0.0216220103619036,"1.3.8.1","Late",0.311039054778012,1.67987224767499,1.68363001676803
"668","DayGroupLate247",0.066907496100117,0.0288857600496748,178,2.31627957807086,0.0216823905405419,"2.1.1.187","Late",0.311039054778012,0.214971597183911,0.219838973592993
"669","DayGroupLate98",0.0716242828461136,0.0313141011855883,178,2.28728528472269,0.0233559312447684,"1.16.1.1","Late",0.311111157196844,0.195018403735657,0.20683863806428
"670","DayGroupLate525",0.106732164147232,0.0465192136144147,178,2.29436733457934,0.0229370459943289,"2.7.4.9","Late",0.311111157196844,0.546494577221271,0.565959191127512
"671","DayGroupLate597",-0.204308287706433,0.0894142407764789,178,-2.28496362472249,0.0234947014978529,"2.8.4.4","Late",0.311111157196844,2.23066953882868,2.25588202010555
"672","DayGroupLate699",-0.124391242748919,0.0543197042780125,168,-2.28998379873857,0.0232659392811329,"3.2.1.41","Late",0.311111157196844,0.824949880747797,0.852877961407896
