"","X","Value","Std.Error","DF","t.value","p.value","GeneFamily","Group","FDR","BaselineGroup","BaselineLinear"
"6291","DayGroupLate3876",0.00987883985912619,0.0288317079544609,101,0.342638038465485,0.732582837163559,"K21964","Late",0.861037384435753,0.0805942041128062,0.100716361968049
"6292","DayGroupEarly223",0.0205126415824132,0.0599197897699247,126,0.342335005866609,0.732669174127975,"K00631","Early",0.979879940437614,0.0723889744132089,0.0806953743395211
"6293","DayGroupLate3886",0.00704230886944164,0.020606812394467,169,0.341746638666566,0.73296614496205,"K21977","Late",0.861037384435753,0.159523820788251,0.139076111124184
"6294","DayGroupLate124",0.010212409122525,0.0298856446445525,175,0.341716206693454,0.732974463806476,"K00281","Late",0.861037384435753,0.236017445991553,0.205786903192017
"6295","DayGroupEarly2225",0.00936409131204295,0.0274453133419193,128,0.341190905543077,0.733519297478676,"K06858","Early",0.979879940437614,0.0443100383900478,0.0507119160816978
"6296","DayGroupEarly369",-0.022601794072625,0.0662946274695337,179,-0.340929498140884,0.733556484573977,"K00951","Early",0.979879940437614,0.838711505343044,0.804491931797353
"6297","DayGroupEarly2508",0.0114972258625068,0.0337232025367127,130,0.340929241521186,0.733707220223958,"K07470","Early",0.979879940437614,0.0882678645702394,0.10396818751528
"6298","DayGroupEarly671",0.0261855444154046,0.0769344401947675,179,0.340361798293628,0.7339831840138,"K01686","Early",0.979879940437614,0.774380268941355,0.78223496831467
"6299","DayGroupLate191",0.00668759424599876,0.019651371982701,154,0.340311824125349,0.734085470241674,"K00556","Late",0.862085470268911,0.0901114922158259,0.107033106088675
"6300","DayGroupEarly904",0.0155840409013298,0.0457757665768784,113,0.340443034966046,0.73415499559205,"K02062","Early",0.979879940437614,0.0472488584657742,0.0542176319440336
"6301","DayGroupEarly3166",0.0158023096453441,0.0464165161057084,99,0.340445836334552,0.734242151646009,"K11930","Early",0.979879940437614,0.0333718766531797,0.0375366231935568
"6302","DayGroupEarly439",0.0107174613247201,0.0315062317468896,139,0.340169570604969,0.73424235015125,"K01139","Early",0.979879940437614,0.0597869256862313,0.0672197255406695
"6303","DayGroupLate2871",-0.0130469440665166,0.0383933642725011,154,-0.339822891630816,0.73445293711314,"K09797","Late",0.862260003642959,0.271610586984915,0.274051956531096
"6304","DayGroupEarly3080",0.0147196894183592,0.0433511300310792,128,0.339545691376589,0.734755166745277,"K11103","Early",0.979879940437614,0.063151787727764,0.0678752608145162
"6305","DayGroupLate992",0.00239025691436438,0.00704450971369388,131,0.339307774637309,0.734921224525261,"K02282","Late",0.862367738668205,0.0371261618570095,0.0399359208719706
"6306","DayGroupLate3287",0.00478482755311078,0.01411463283846,167,0.338997663479628,0.735037374051973,"K13479","Late",0.862367738668205,0.0454416751389714,0.0497831410575988
