"","GeneFamily","RPK","Sample_ID","RPKG"
"99","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",341.1884660318,"GO_Pt19_C1D7",0.198315359140302
"100","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",189.1765193438,"GO_Pt19_C2D1",0.0902271296366711
"101","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",225.7846123953,"GO_Pt19_C3D1",0.142567702150679
"102","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",394.1108321694,"GO_Pt2_Baseline",0.365634989825058
"103","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",530.0695621654,"GO_Pt2_C1D1",0.26302480023297
"104","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",165.876362524,"GO_Pt2_C1D3",0.101406410146749
"105","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",882.505850872,"GO_Pt2_C1D7",0.40164339042047
"106","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",33.5988869627,"GO_Pt2_C2D1",0.0166539803070833
"107","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",261.8868475874,"GO_Pt2_C3D1",0.177493090592601
"108","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",343.0481040204,"GO_Pt20_Baseline",0.125220965376729
"109","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",191.8520046168,"GO_Pt20_C1D1",0.108375358038041
"110","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",435.8929543695,"GO_Pt20_C1D3",0.216401799471663
"111","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",415.0935823296,"GO_Pt20_C1D7",0.254932067095432
"112","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",265.4842078783,"GO_Pt20_C1D7",0.163048625121521
"113","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",75.0386904062,"GO_Pt20_C1D7",0.0460854353614095
