food_id,wikipedia_id,food_group,food_subgroup,ncbi_taxonomy_id,db,rank,matched_taxid,kingdom,phylum,class,order,family,genus,species,taxon,taxrank,kraken_raw_reads,reads,sample_id,lineage,taxid_lineage,relative_abundance,total_reads,total_raw_reads,bacteria_reads,human_reads
107,Matricaria chamomilla,Herbs and Spices,Herbs,127986,genbank,species,98504,Eukaryota,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Matricaria,Matricaria chamomilla,Matricaria chamomilla,species,4,5,GO_Pt30_C1D1_S176_L003,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asterales;f__Asteraceae;g__Matricaria;s__Matricaria chamomilla,2759;35493;3398;4209;4210;56016;98504,5.08638202594665e-06,983017,440738,967953,10803
166,Sambucus nigra,Fruits,Berries,4202,genbank,species,4202,Eukaryota,Streptophyta,Magnoliopsida,Dipsacales,Adoxaceae,Sambucus,Sambucus nigra,Sambucus nigra,species,4,4,GO_Pt30_C1D1_S176_L003,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Dipsacales;f__Adoxaceae;g__Sambucus;s__Sambucus nigra,2759;35493;3398;4199;4206;4201;4202,4.06910562075732e-06,983017,440738,967953,10803
83,Strawberry,Fruits,Berries,3747,genbank,species,3747,Eukaryota,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Fragaria,Fragaria x ananassa,Fragaria x ananassa,species,5,6,GO_Pt30_C1D1_S176_L003,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;g__Fragaria;s__Fragaria x ananassa,2759;35493;3398;3744;3745;3746;3747,6.10365843113598e-06,983017,440738,967953,10803
6,Onion,Vegetables,Onion-family vegetables,4679,genbank,species,4679,Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Allium cepa,Allium cepa,species,3,4,GO_Pt30_C1D1_S176_L003,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asparagales;f__Amaryllidaceae;g__Allium;s__Allium cepa,2759;35493;3398;73496;4668;4678;4679,4.06910562075732e-06,983017,440738,967953,10803
226,"",Vegetables,Onion-family vegetables,4679,genbank,species,4679,Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Allium cepa,Allium cepa,species,3,4,GO_Pt30_C1D1_S176_L003,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asparagales;f__Amaryllidaceae;g__Allium;s__Allium cepa,2759;35493;3398;73496;4668;4678;4679,4.06910562075732e-06,983017,440738,967953,10803
241,Welsh_onion,Herbs and Spices,Herbs,35875,genbank,species,35875,Eukaryota,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Allium,Allium fistulosum,Allium fistulosum,species,3,4,GO_Pt30_C1D1_S176_L003,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Asparagales;f__Amaryllidaceae;g__Allium;s__Allium fistulosum,2759;35493;3398;73496;4668;4678;35875,4.06910562075732e-06,983017,440738,967953,10803
22,Oat,Cereals and cereal products,Cereals,4498,genbank,species,4498,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Avena,Avena sativa,Avena sativa,species,3,4,GO_Pt30_C1D1_S176_L003,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Avena;s__Avena sativa,2759;35493;3398;38820;4479;4496;4498,4.06910562075732e-06,983017,440738,967953,10803
523,Yellowtail amberjack,Aquatic foods,Fishes,302047,genbank,species,302047,Eukaryota,Chordata,Actinopteri,Carangiformes,Carangidae,Seriola,Seriola lalandi,Seriola lalandi,species,3,3,GO_Pt14_C2D1_S417_L002,k__Eukaryota;p__Chordata;c__Actinopteri;o__Carangiformes;f__Carangidae;g__Seriola;s__Seriola lalandi,2759;7711;186623;1489907;8157;8160;302047,5.10112990027291e-06,588105,236308,587589,227
307,Blue mussel,Aquatic foods,Mollusks,6550,genbank,species,6550,Eukaryota,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,Mytilus edulis,Mytilus edulis,species,3,3,GO_Pt14_C2D1_S417_L002,k__Eukaryota;p__Mollusca;c__Bivalvia;o__Mytilida;f__Mytilidae;g__Mytilus;s__Mytilus edulis,2759;6447;6544;6546;6547;6548;6550,5.10112990027291e-06,588105,236308,587589,227
425,Enteroctopus dofleini,Aquatic foods,Mollusks,267067,genbank,species,267067,Eukaryota,Mollusca,Cephalopoda,Octopoda,Octopodidae,Enteroctopus,Enteroctopus dofleini,Enteroctopus dofleini,species,3,3,GO_Pt14_C2D1_S417_L002,k__Eukaryota;p__Mollusca;c__Cephalopoda;o__Octopoda;f__Octopodidae;g__Enteroctopus;s__Enteroctopus dofleini,2759;6447;6605;6638;6647;267066;267067,5.10112990027291e-06,588105,236308,587589,227
326,Carob,Vegetables,Other vegetables,20340,genbank,species,20340,Eukaryota,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Ceratonia,Ceratonia siliqua,Ceratonia siliqua,species,4,4,GO_Pt14_C2D1_S417_L002,k__Eukaryota;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Ceratonia;s__Ceratonia siliqua,2759;35493;3398;72025;3803;20339;20340,6.80150653369721e-06,588105,236308,587589,227
