"","Value","Std.Error","DF","t-value","p-value","Taxa","Group","FDR"
"DaysLinear367",-0.00754891863422881,0.0126391536341425,15,-0.597264567924605,0.559239503727802,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Oscillospirales;  f__UCG-010;  g__UCG-010;  s__uncultured_bacterium","DaysLinear",0.823331420860223
"DaysLinear390",0.00622134151670763,0.0106871084841541,23,0.582135151517557,0.566138859579241,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Peptostreptococcales-Tissierellales;  f__Peptostreptococcales-Tissierellales;  g__Fenollaria;  s__uncultured_bacterium","DaysLinear",0.823331420860223
"DaysLinear93",0.00397603184486172,0.00706766147693384,39,0.562566820416905,0.576949587655101,"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Erysipelotrichales;  f__Erysipelotrichaceae;  g__Dielma; NA","DaysLinear",0.825305370420542
"DaysLinear122",0.005968608350232,0.010639350462132,69,0.560993678277231,0.576619189862128,"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Streptococcaceae;  g__Streptococcus;  s__Streptococcus_anginosus","DaysLinear",0.825305370420542
"DaysLinear125",0.00610016918775954,0.0107516546124727,27,0.567370270682143,0.57515024598758,"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Streptococcaceae;  g__Streptococcus;  s__Streptococcus_sobrinus","DaysLinear",0.825305370420542
"DaysLinear39",-0.00618489484059169,0.0111780325323779,29,-0.553308001446294,0.584293415221577,"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__Bacteroidaceae;  g__Bacteroides;  s__Bacteroides_ovatus","DaysLinear",0.829779377762067
"DaysLinear407",-0.00496010809923844,0.00885126715746774,16,-0.560383955313521,0.582979879542629,"d__Bacteria;  p__Firmicutes; NA; NA; NA; NA; NA","DaysLinear",0.829779377762067
"DaysLinear417",0.00520789851705499,0.00952875445243306,106,0.546545568264193,0.585839606984793,"d__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Enterobacteriaceae; NA; NA","DaysLinear",0.829779377762067
"DaysLinear273",0.00363139593573917,0.00664857310838988,30,0.54619177326285,0.588973396467394,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Monoglobales;  f__Monoglobaceae;  g__Monoglobus;  s__uncultured_bacterium","DaysLinear",0.831491853836321
"DaysLinear224",0.00436587168449346,0.00811236001632053,18,0.538175287550128,0.597048647384319,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Lachnospiraceae;  g__Lachnoclostridium;  s__uncultured_Clostridium","DaysLinear",0.840146630846989
